monto_sol_dev,ejercicio,periodo
6463,2016,2
662674,2016,2
858454,2016,2
16700,2016,2
799561,2016,2
271564,2016,2
108303,2016,2
46211,2016,2
2011,2016,2
141363,2016,2
4491,2016,2
92,2016,2
542418,2016,2
8,2016,2
8022,2016,2
20343,2016,2
13428,2016,2
207371,2016,2
187364,2016,2
156167,2016,2
50180,2016,2
40970,2016,2
919175,2016,2
8249,2016,2
173817,2016,2
255287,2016,2
87571,2016,2
2334,2016,2
4485,2016,2
51308,2016,2
7331,2016,2
177,2016,2
2994,2016,2
47738,2016,2
23464,2016,2
112,2016,2
266,2016,2
399,2016,2
21,2016,2
623,2016,2
237189,2016,2
276,2016,2
94470,2016,2
2182,2016,2
3319,2016,2
165,2016,2
6322,2016,2
2304,2016,2
16968,2016,2
239015,2016,2
806560,2016,2
270157,2016,2
11089,2016,2
4063,2016,2
200337,2016,2
62505,2016,2
15238,2016,2
4941,2016,2
58751,2016,2
213,2016,2
9461,2016,2
32952,2016,2
115773,2016,2
16353,2016,2
9133,2016,2
810,2016,2
365,2016,2
193,2016,2
94987,2016,2
11450,2016,2
1565,2016,2
200604,2016,2
173331,2016,2
7959,2016,2
1811,2016,2
5880,2016,2
914,2016,2
2707,2016,2
796053,2016,2
15652,2016,2
973,2016,2
690,2016,2
216412,2016,2
145,2016,2
33864,2016,2
161726,2016,2
239404,2016,2
8561,2016,2
946,2016,2
20652,2016,2
182686,2016,2
6254,2016,2
163570,2016,2
50596,2016,2
772124,2016,2
1597,2016,2
2645,2016,2
1444,2016,2
37,2016,2
19907,2016,2
38,2016,3
3554,2016,2
283,2016,2
28134,2016,2
76589,2016,2
7319,2016,2
375839,2016,2
8853,2016,2
83150,2016,2
2367,2016,2
1520,2016,2
363,2016,2
246,2016,2
28005,2016,2
410869,2016,2
161175,2016,2
34896,2016,2
1368,2016,2
863,2016,2
205,2016,2
15946,2016,2
9927,2016,2
803,2016,2
525,2016,2
236,2016,2
256,2016,2
59701,2016,2
5957,2016,2
358829,2016,2
222792,2016,2
153,2016,2
3492,2016,2
393,2016,2
12850,2016,2
16963,2016,2
